t,x,y,z
107640.00000000000,-2400148.1528943293,-21352343.346349858,15378068.815085405
107670.00000000000,-2360485.14824827,-21307335.036709554,15445978.711274952
107700.00000000000,-2320590.309937166,-21262188.40559088,15513588.191701593
107730.00000000000,-2280463.619828487,-21216905.11608748,15580895.93179812
107760.00000000000,-2240105.070533294,-21171486.833533682,15647900.612874871
107790.00000000000,-2199514.665415678,-21125935.225432765,15714600.922147335
107820.00000000000,-2158692.418601826,-21080251.961385146,15780995.552763578
107850.00000000000,-2117638.354988482,-21034438.713016428,15847083.203831607
107880.00000000000,-2076352.5102510154,-20988497.1539054,15912862.580446566
107910.00000000000,-2034834.9308511205,-20942428.959512,15978332.393717831
107940.00000000000,-1993085.6740436293,-20896235.807105124,16043491.360796008
107970.00000000000,-1951104.8078833316,-20849919.375690423,16108338.204899715
108000.00000000000,-1908892.4112309627,-20803481.345938064,16172871.655342374
108030.00000000000,-1866448.5737589076,-20756923.400110282,16237090.447558722
108060.00000000000,-1823773.395956289,-20710247.221989084,16300993.323131328
108090.00000000000,-1780866.989133587,-20663454.496803723,16364579.029816931
108120.00000000000,-1737729.475426985,-20616546.911158174,16427846.321572611
108150.00000000000,-1694360.9878017828,-20569526.152958643,16490793.95858192
108180.00000000000,-1650761.670055773,-20522393.91134086,16553420.707280774
108210.00000000000,-1606931.6768218968,-20475151.876597498,16615725.340383317
108240.00000000000,-1562871.1735704467,-20427801.74010543,16677706.636907604
108270.00000000000,-1518580.3366108183,-20380345.194253042,16739363.382201118
108300.00000000000,-1474059.3530927077,-20332783.932367433,16800694.367966264
108330.00000000000,-1429308.4210070018,-20285119.648641635,16861698.392285615
108360.00000000000,-1384327.749185849,-20237354.0380618,16922374.259647056
108390.00000000000,-1339117.5573025402,-20189488.79633434,16982720.780968864
108420.00000000000,-1293678.075870812,-20141525.619813092,17042736.773624554
108450.00000000000,-1248009.546243595,-20093466.205426395,17102421.06146764
108480.00000000000,-1202112.2206113748,-20045312.25060425,17161772.474856272
108510.00000000000,-1155986.3619999476,-19997065.453205377,17220789.8506777
108540.00000000000,-1109632.244267879,-19948727.5114443,17279472.032372613
108570.00000000000,-1063050.1521032006,-19900300.123818494,17337817.86995938
108600.00000000000,-1016240.38101984,-19851784.9890354,17395826.220058076
108630.00000000000,-969203.2373534944,-19803183.80593955,17453495.945914425
108660.00000000000,-921939.0382569954,-19754498.27343969,17510825.91742361
108690.00000000000,-874448.1116951965,-19705730.090435836,17567815.011153884
108720.00000000000,-826730.7964393571,-19656880.955746427,17624462.110370107
108750.00000000000,-778787.4420611802,-19607952.568035465,17680766.105057094
108780.00000000000,-730618.4089260492,-19558946.625739656,17736725.891942855
108810.00000000000,-682224.0681860875,-19509864.82699562,17792340.374521647
108840.00000000000,-633604.8017725851,-19460708.869567055,17847608.463076938
108870.00000000000,-584761.0023879725,-19411480.45077204,17902529.074704204
108900.00000000000,-535693.0734972376,-19362181.267410234,17957101.133333534
108930.00000000000,-486401.4293190874,-19312813.01569024,18011323.56975219
108960.00000000000,-436886.49481623434,-19263377.39115694,18065195.321626905
108990.00000000000,-387148.7056855336,-19213876.08861889,18118715.333526168
109020.00000000000,-337188.50834751874,-19164310.80207572,18171882.5569422
109050.00000000000,-287006.35993542336,-19114683.2246457,18224695.95031293
109080.00000000000,-236602.72828375362,-19064995.04849322,18277154.479043767
109110.00000000000,-185978.09191637114,-19015247.964756407,18329257.115529172
109140.00000000000,-135132.94003405236,-18965443.6634748,18381002.839174163
109170.00000000000,-84067.77250173129,-18915583.833517052,18432390.636415645
109200.00000000000,-32783.099834932014,-18865670.162508737,18483419.50074353
109230.00000000000,18720.556813955307,-18815704.3367602,18534088.432721823
109260.00000000000,70442.66567002423,-18765688.041194487,18584396.440009434
109290.00000000000,122382.68435068987,-18715622.959275376,18634342.537380934
